TimeKey,FullTime,Hour,Hour12,AMPM,TimeOfDay,BusinessPeriod
0,00:00:00,0,12,AM,Night,Late Night
1,00:00:01,0,12,AM,Night,Late Night
2,00:00:02,0,12,AM,Night,Late Night
3,00:00:03,0,12,AM,Night,Late Night
4,00:00:04,0,12,AM,Night,Late Night
5,00:00:05,0,12,AM,Night,Late Night
6,00:00:06,0,12,AM,Night,Late Night
7,00:00:07,0,12,AM,Night,Late Night
8,00:00:08,0,12,AM,Night,Late Night
9,00:00:09,0,12,AM,Night,Late Night
10,00:00:10,0,12,AM,Night,Late Night
11,00:00:11,0,12,AM,Night,Late Night
12,00:00:12,0,12,AM,Night,Late Night
13,00:00:13,0,12,AM,Night,Late Night
14,00:00:14,0,12,AM,Night,Late Night
15,00:00:15,0,12,AM,Night,Late Night
16,00:00:16,0,12,AM,Night,Late Night
17,00:00:17,0,12,AM,Night,Late Night
18,00:00:18,0,12,AM,Night,Late Night
19,00:00:19,0,12,AM,Night,Late Night
20,00:00:20,0,12,AM,Night,Late Night
21,00:00:21,0,12,AM,Night,Late Night
22,00:00:22,0,12,AM,Night,Late Night
23,00:00:23,0,12,AM,Night,Late Night
24,00:00:24,0,12,AM,Night,Late Night
25,00:00:25,0,12,AM,Night,Late Night
26,00:00:26,0,12,AM,Night,Late Night
27,00:00:27,0,12,AM,Night,Late Night
28,00:00:28,0,12,AM,Night,Late Night
29,00:00:29,0,12,AM,Night,Late Night
30,00:00:30,0,12,AM,Night,Late Night
31,00:00:31,0,12,AM,Night,Late Night
32,00:00:32,0,12,AM,Night,Late Night
33,00:00:33,0,12,AM,Night,Late Night
34,00:00:34,0,12,AM,Night,Late Night
35,00:00:35,0,12,AM,Night,Late Night
36,00:00:36,0,12,AM,Night,Late Night
37,00:00:37,0,12,AM,Night,Late Night
38,00:00:38,0,12,AM,Night,Late Night
39,00:00:39,0,12,AM,Night,Late Night
40,00:00:40,0,12,AM,Night,Late Night
41,00:00:41,0,12,AM,Night,Late Night
42,00:00:42,0,12,AM,Night,Late Night
43,00:00:43,0,12,AM,Night,Late Night
44,00:00:44,0,12,AM,Night,Late Night
45,00:00:45,0,12,AM,Night,Late Night
46,00:00:46,0,12,AM,Night,Late Night
47,00:00:47,0,12,AM,Night,Late Night
48,00:00:48,0,12,AM,Night,Late Night
49,00:00:49,0,12,AM,Night,Late Night
50,00:00:50,0,12,AM,Night,Late Night
51,00:00:51,0,12,AM,Night,Late Night
52,00:00:52,0,12,AM,Night,Late Night
53,00:00:53,0,12,AM,Night,Late Night
54,00:00:54,0,12,AM,Night,Late Night
55,00:00:55,0,12,AM,Night,Late Night
56,00:00:56,0,12,AM,Night,Late Night
57,00:00:57,0,12,AM,Night,Late Night
58,00:00:58,0,12,AM,Night,Late Night
59,00:00:59,0,12,AM,Night,Late Night
100,00:01:00,0,12,AM,Night,Late Night
101,00:01:01,0,12,AM,Night,Late Night
102,00:01:02,0,12,AM,Night,Late Night
103,00:01:03,0,12,AM,Night,Late Night
104,00:01:04,0,12,AM,Night,Late Night
105,00:01:05,0,12,AM,Night,Late Night
106,00:01:06,0,12,AM,Night,Late Night
107,00:01:07,0,12,AM,Night,Late Night
108,00:01:08,0,12,AM,Night,Late Night
109,00:01:09,0,12,AM,Night,Late Night
110,00:01:10,0,12,AM,Night,Late Night
111,00:01:11,0,12,AM,Night,Late Night
112,00:01:12,0,12,AM,Night,Late Night
113,00:01:13,0,12,AM,Night,Late Night
114,00:01:14,0,12,AM,Night,Late Night
115,00:01:15,0,12,AM,Night,Late Night
116,00:01:16,0,12,AM,Night,Late Night
117,00:01:17,0,12,AM,Night,Late Night
118,00:01:18,0,12,AM,Night,Late Night
119,00:01:19,0,12,AM,Night,Late Night
120,00:01:20,0,12,AM,Night,Late Night
121,00:01:21,0,12,AM,Night,Late Night
122,00:01:22,0,12,AM,Night,Late Night
123,00:01:23,0,12,AM,Night,Late Night
124,00:01:24,0,12,AM,Night,Late Night
125,00:01:25,0,12,AM,Night,Late Night
126,00:01:26,0,12,AM,Night,Late Night
127,00:01:27,0,12,AM,Night,Late Night
128,00:01:28,0,12,AM,Night,Late Night
129,00:01:29,0,12,AM,Night,Late Night
130,00:01:30,0,12,AM,Night,Late Night
131,00:01:31,0,12,AM,Night,Late Night
132,00:01:32,0,12,AM,Night,Late Night
133,00:01:33,0,12,AM,Night,Late Night
134,00:01:34,0,12,AM,Night,Late Night
135,00:01:35,0,12,AM,Night,Late Night
136,00:01:36,0,12,AM,Night,Late Night
137,00:01:37,0,12,AM,Night,Late Night
138,00:01:38,0,12,AM,Night,Late Night
139,00:01:39,0,12,AM,Night,Late Night
140,00:01:40,0,12,AM,Night,Late Night
141,00:01:41,0,12,AM,Night,Late Night
142,00:01:42,0,12,AM,Night,Late Night
143,00:01:43,0,12,AM,Night,Late Night
144,00:01:44,0,12,AM,Night,Late Night
145,00:01:45,0,12,AM,Night,Late Night
146,00:01:46,0,12,AM,Night,Late Night
147,00:01:47,0,12,AM,Night,Late Night
148,00:01:48,0,12,AM,Night,Late Night
149,00:01:49,0,12,AM,Night,Late Night
150,00:01:50,0,12,AM,Night,Late Night
151,00:01:51,0,12,AM,Night,Late Night
152,00:01:52,0,12,AM,Night,Late Night
153,00:01:53,0,12,AM,Night,Late Night
154,00:01:54,0,12,AM,Night,Late Night
155,00:01:55,0,12,AM,Night,Late Night
156,00:01:56,0,12,AM,Night,Late Night
157,00:01:57,0,12,AM,Night,Late Night
158,00:01:58,0,12,AM,Night,Late Night
159,00:01:59,0,12,AM,Night,Late Night
200,00:02:00,0,12,AM,Night,Late Night
201,00:02:01,0,12,AM,Night,Late Night
202,00:02:02,0,12,AM,Night,Late Night
203,00:02:03,0,12,AM,Night,Late Night
204,00:02:04,0,12,AM,Night,Late Night
205,00:02:05,0,12,AM,Night,Late Night
206,00:02:06,0,12,AM,Night,Late Night
207,00:02:07,0,12,AM,Night,Late Night
208,00:02:08,0,12,AM,Night,Late Night
209,00:02:09,0,12,AM,Night,Late Night
210,00:02:10,0,12,AM,Night,Late Night
211,00:02:11,0,12,AM,Night,Late Night
212,00:02:12,0,12,AM,Night,Late Night
213,00:02:13,0,12,AM,Night,Late Night
214,00:02:14,0,12,AM,Night,Late Night
215,00:02:15,0,12,AM,Night,Late Night
216,00:02:16,0,12,AM,Night,Late Night
217,00:02:17,0,12,AM,Night,Late Night
218,00:02:18,0,12,AM,Night,Late Night
219,00:02:19,0,12,AM,Night,Late Night
220,00:02:20,0,12,AM,Night,Late Night
221,00:02:21,0,12,AM,Night,Late Night
222,00:02:22,0,12,AM,Night,Late Night
223,00:02:23,0,12,AM,Night,Late Night
224,00:02:24,0,12,AM,Night,Late Night
225,00:02:25,0,12,AM,Night,Late Night
226,00:02:26,0,12,AM,Night,Late Night
227,00:02:27,0,12,AM,Night,Late Night
228,00:02:28,0,12,AM,Night,Late Night
229,00:02:29,0,12,AM,Night,Late Night
230,00:02:30,0,12,AM,Night,Late Night
231,00:02:31,0,12,AM,Night,Late Night
232,00:02:32,0,12,AM,Night,Late Night
233,00:02:33,0,12,AM,Night,Late Night
234,00:02:34,0,12,AM,Night,Late Night
235,00:02:35,0,12,AM,Night,Late Night
236,00:02:36,0,12,AM,Night,Late Night
237,00:02:37,0,12,AM,Night,Late Night
238,00:02:38,0,12,AM,Night,Late Night
239,00:02:39,0,12,AM,Night,Late Night
240,00:02:40,0,12,AM,Night,Late Night
241,00:02:41,0,12,AM,Night,Late Night
242,00:02:42,0,12,AM,Night,Late Night
243,00:02:43,0,12,AM,Night,Late Night
244,00:02:44,0,12,AM,Night,Late Night
245,00:02:45,0,12,AM,Night,Late Night
246,00:02:46,0,12,AM,Night,Late Night
247,00:02:47,0,12,AM,Night,Late Night
248,00:02:48,0,12,AM,Night,Late Night
249,00:02:49,0,12,AM,Night,Late Night
250,00:02:50,0,12,AM,Night,Late Night
251,00:02:51,0,12,AM,Night,Late Night
252,00:02:52,0,12,AM,Night,Late Night
253,00:02:53,0,12,AM,Night,Late Night
254,00:02:54,0,12,AM,Night,Late Night
255,00:02:55,0,12,AM,Night,Late Night
256,00:02:56,0,12,AM,Night,Late Night
257,00:02:57,0,12,AM,Night,Late Night
258,00:02:58,0,12,AM,Night,Late Night
259,00:02:59,0,12,AM,Night,Late Night
